Per_Weight,Cost_Weight,Gen,Pop,Alt,Inc,Initial_Raan,Delta_Raan,Num_Sats,Num_Planes,Avg_Percentage,Cost,
0.11888888888888888,-0.8811111111111112,0,17,585,93,88,21,5,2,97.13991769547323,7.0,
0.11888888888888888,-0.8811111111111112,0,18,613,92,90,1,3,1,87.55144032921811,4.0,
0.11888888888888888,-0.8811111111111112,0,19,576,94,58,18,6,1,86.66666666666667,7.0,
0.11888888888888888,-0.8811111111111112,0,20,587,91,108,2,9,3,97.92181069958849,12.0,
0.11888888888888888,-0.8811111111111112,0,21,589,90,75,3,3,3,97.51028806584361,6.0,
0.11888888888888888,-0.8811111111111112,0,22,615,90,55,5,11,10,93.9917695473251,21.0,
0.11888888888888888,-0.8811111111111112,0,23,589,94,139,20,5,1,87.38683127572017,6.0,
0.11888888888888888,-0.8811111111111112,0,24,629,93,86,4,11,10,99.97942386831275,21.0,
0.11888888888888888,-0.8811111111111112,1,0,628,89,108,9,11,4,99.21810699588478,15.0,
0.11888888888888888,-0.8811111111111112,1,1,605,92,33,23,9,6,99.69135802469134,15.0,
0.11888888888888888,-0.8811111111111112,1,2,594,93,128,19,4,10,99.1358024691358,14414.0,
0.11888888888888888,-0.8811111111111112,1,3,629,87,86,4,11,4,99.07407407407408,15.0,
0.11888888888888888,-0.8811111111111112,1,4,605,92,33,23,9,6,99.69135802469134,15.0,
0.11888888888888888,-0.8811111111111112,1,5,629,93,86,4,11,10,99.97942386831275,21.0,
0.11888888888888888,-0.8811111111111112,1,6,612,91,147,10,8,6,98.99176954732509,14.0,
0.11888888888888888,-0.8811111111111112,1,7,629,93,129,3,11,10,99.95884773662553,21.0,
0.11888888888888888,-0.8811111111111112,1,8,612,91,36,3,11,10,98.82716049382717,21.0,
0.11888888888888888,-0.8811111111111112,1,9,599,90,144,26,11,9,97.94238683127573,20.0,
0.11888888888888888,-0.8811111111111112,1,10,618,90,128,11,5,4,99.05349794238683,9.0,
0.11888888888888888,-0.8811111111111112,1,11,594,87,143,19,4,5,98.4156378600823,2409.0,
0.11888888888888888,-0.8811111111111112,1,12,600,93,55,19,9,9,99.8971193415638,18.0,
0.11888888888888888,-0.8811111111111112,1,13,603,95,78,21,8,1,89.07407407407408,9.0,
0.11888888888888888,-0.8811111111111112,1,14,629,93,86,4,11,10,99.97942386831275,21.0,
0.11888888888888888,-0.8811111111111112,1,15,605,92,33,23,9,6,99.69135802469134,15.0,
0.11888888888888888,-0.8811111111111112,1,16,605,92,129,3,9,6,99.69135802469134,15.0,
0.11888888888888888,-0.8811111111111112,1,17,611,91,33,23,9,6,99.75308641975307,15.0,
0.11888888888888888,-0.8811111111111112,1,18,629,92,127,14,11,10,99.8148148148148,21.0,
0.11888888888888888,-0.8811111111111112,1,19,629,93,86,4,7,7,99.71193415637859,14.0,
0.11888888888888888,-0.8811111111111112,1,20,629,93,86,4,11,10,99.97942386831275,21.0,
0.11888888888888888,-0.8811111111111112,1,21,629,93,31,30,11,2,88.43621399176953,13.0,
0.11888888888888888,-0.8811111111111112,1,22,629,93,36,19,11,10,99.83539094650205,21.0,
0.11888888888888888,-0.8811111111111112,1,23,612,90,86,4,11,10,99.91769547325103,21.0,
0.11888888888888888,-0.8811111111111112,1,24,612,90,36,19,11,10,99.8559670781893,21.0,
0.11888888888888888,-0.8811111111111112,2,0,629,89,86,0,6,6,80.02057613168722,12.0,
0.11888888888888888,-0.8811111111111112,2,1,629,93,86,4,11,10,99.97942386831275,21.0,
0.11888888888888888,-0.8811111111111112,2,2,606,89,57,20,8,8,97.86008230452676,16.0,
0.11888888888888888,-0.8811111111111112,2,3,629,93,86,4,11,10,99.97942386831275,21.0,
0.11888888888888888,-0.8811111111111112,2,4,608,91,86,9,10,3,98.60082304526749,13.0,
0.11888888888888888,-0.8811111111111112,2,5,601,89,83,25,11,4,98.90946502057614,15.0,
0.11888888888888888,-0.8811111111111112,2,6,629,93,86,4,11,10,99.97942386831275,21.0,
0.11888888888888888,-0.8811111111111112,2,7,628,93,131,10,4,4,98.06584362139917,8.0,
0.11888888888888888,-0.8811111111111112,2,8,629,93,86,4,11,10,99.97942386831275,21.0,
0.11888888888888888,-0.8811111111111112,2,9,594,92,44,3,9,9,93.4567901234568,18.0,
0.11888888888888888,-0.8811111111111112,2,10,629,93,86,4,11,10,99.97942386831275,21.0,
0.11888888888888888,-0.8811111111111112,2,11,629,93,86,4,11,10,99.97942386831275,21.0,
0.11888888888888888,-0.8811111111111112,2,12,600,93,86,19,9,10,99.95884773662553,2419.0,
0.11888888888888888,-0.8811111111111112,2,13,629,93,55,4,11,9,99.95884773662553,20.0,
